     TSINCE (MIN)         LAT(DEG)        LON (DEG)          HT (KM)           X (KM)           Y (KM)           Z (KM)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493
    322635.7371675       57.9478297      134.0041053      491.8609363    -3636.6141999     -356.1768824     5799.5390539
    322635.7538341       58.0095127      133.9710135      491.8831177    -3630.5609832     -353.7344100     5803.4813946
    322635.7705008       58.0711882      133.9378222      491.9052885    -3624.5032897     -351.2915014     5807.4165586
    322635.7871675       58.1328563      133.9045309      491.9274485    -3618.4411247     -348.8481589     5811.3445424
    322635.8038341       58.1945168      133.8711389      491.9495977    -3612.3744998     -346.4043870     5815.2653387
    322635.8205008       58.2561698      133.8376458      491.9717359    -3606.3034204     -343.9601880     5819.1789439
    322635.8371675       58.3178152      133.8040509      491.9938632    -3600.2278941     -341.5155649     5823.0853534
    322635.8538341       58.3794530      133.7703536      492.0159793    -3594.1479265     -339.0705198     5826.9845634
    322635.8705008       58.4410831      133.7365534      492.0380842    -3588.0635290     -336.6250575     5830.8765669
    322635.8871675       58.5027055      133.7026496      492.0601778    -3581.9747072     -334.1791801     5834.7613602
    322635.9038341       58.5643202      133.6686416      492.0822600    -3575.8814667     -331.7328900     5838.6389398
    322635.9205008       58.6259270      133.6345289      492.1043307    -3569.7838189     -329.2861915     5842.5092986
    322635.9371675       58.6875261      133.6003108      492.1263899    -3563.6817694     -326.8390871     5846.3724331
    322635.9538341       58.7491172      133.5659868      492.1484373    -3557.5753258     -324.3915796     5850.2283384
    322635.9705008       58.8107005      133.5315560      492.1704731    -3551.4644937     -321.9436715     5854.0770112
    322635.9871675       58.8722758      133.4970181      492.1924969    -3545.3492846     -319.4953671     5857.9184443
    322636.0038341       58.9338431      133.4623723      492.2145089    -3539.2297040     -317.0466689     5861.7526342
    322636.0205008       58.9954024      133.4276180      492.2365088    -3533.1057597     -314.5975797     5865.5795761
    322636.0371675       59.0569536      133.3927546      492.2584966    -3526.9774571     -312.1481019     5869.3992668
    322636.0538341       59.1184967      133.3577813      492.2804722    -3520.8448078     -309.6982400     5873.2116990
    322636.0705008       59.1800316      133.3226977      492.3024354    -3514.7078175     -307.2479964     5877.0168693
    322636.0871675       59.2415583      133.2875030      492.3243863    -3508.5664936     -304.7973739     5880.8147730
    322636.1038341       59.3030768      133.2521965      492.3463247    -3502.4208420     -302.3463748     5884.6054068
    322636.1205008       59.3645870      133.2167776      492.3682505    -3496.2708740     -299.8950038     5888.3887636
    322636.1371675       59.4260888      133.1812456      492.3901637    -3490.1165954     -297.4432630     5892.1648399
    322636.1538341       59.4875823      133.1455999      492.4120641    -3483.9580138     -294.9911555     5895.9336312
    322636.1705008       59.5490673      133.1098398      492.4339517    -3477.7951348     -292.5386836     5899.6951339
    322636.1871675       59.6105439      133.0739645      492.4558263    -3471.6279700     -290.0858518     5903.4493413
    322636.2038341       59.6720119      133.0379735      492.4776879    -3465.4565251     -287.6326624     5907.1962498
    322636.2205008       59.7334714      133.0018659      492.4995364    -3459.2808077     -285.1791183     5910.9358549
    322636.2371675       59.7949223      132.9656411      492.5213717    -3453.1008235     -282.7252220     5914.6681532
    322636.2538341       59.8563645      132.9292985      492.5431937    -3446.9165841     -280.2709778     5918.3931377
    322636.2705008       59.9177980      132.8928372      492.5650023    -3440.7280950     -277.8163882     5922.1108051
    322636.2871675       59.9792228      132.8562566      492.5867974    -3434.5353642     -275.3614560     5925.8211509
    322636.3038341       60.0406387      132.8195559      492.6085790    -3428.3383971     -272.9061837     5929.5241717
    322636.3205008       60.1020458      132.7827345      492.6303470    -3422.1372055     -270.4505757     5933.2198606
    322636.3371675       60.1634440      132.7457916      492.6521012    -3415.9317950     -267.9946342     5936.9082143
    322636.3538341       60.2248333      132.7087264      492.6738416    -3409.7221733     -265.5383625     5940.5892282
    322636.3705008       60.2862136      132.6715381      492.6955680    -3403.5083462     -263.0817626     5944.2628991
    322636.3871675       60.3475848      132.6342262      492.7172805    -3397.2903252     -260.6248391     5947.9292202
    322636.4038341       60.4089470      132.5967897      492.7389788    -3391.0681161     -258.1675944     5951.5881880
    322636.4205008       60.4702999      132.5592280      492.7606630    -3384.8417266     -255.7100315     5955.2397982
    322636.4371675       60.5316438      132.5215402      492.7823330    -3378.6111624     -253.2521526     5958.8840474
    322636.4538341       60.5929783      132.4837256      492.8039885    -3372.3764352     -250.7939623     5962.5209289
    322636.4705008       60.6543035      132.4457834      492.8256296    -3366.1375507     -248.3354628     5966.1504394
    322636.4871675       60.7156194      132.4077128      492.8472562    -3359.8945167     -245.8766572     5969.7725745
    322636.5038341       60.7769259      132.3695130      492.8688682    -3353.6473388     -243.4175477     5973.3873308
    322636.5205008       60.8382229      132.3311833      492.8904654    -3347.3960289     -240.9581390     5976.9947018
    322636.5371675       60.8995104      132.2927228      492.9120479    -3341.1405926     -238.4984333     5980.5946840
    322636.5538341       60.9607884      132.2541306      492.9336155    -3334.8810357     -236.0384328     5984.1872743
    322636.5705008       61.0220567      132.2154061      492.9551681    -3328.6173699     -233.5781422     5987.7724660
    322636.5871675       61.0833154      132.1765483      492.9767056    -3322.3496010     -231.1175636     5991.3502558
    322636.6038341       61.1445643      132.1375565      492.9982280    -3316.0777367     -228.6567002     5994.9206394
    322636.6205008       61.2058034      132.0984297      493.0197352    -3309.8017828     -226.1955542     5998.4836136
    322636.6371675       61.2670327      132.0591671      493.0412270    -3303.5217511     -223.7341301     6002.0391717
