     TSINCE (MIN)           X (KM)           Y (KM)           Z (KM)      XDOT (KM/S)       YDOT(KM/S)    ZDOT (KM/SEC)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493
    322635.6371675    -3672.8390681     -370.8223897     5775.7345689        6.0238694        2.4395340        3.9888301
    322635.6538341    -3666.8128685     -368.3825969     5779.7198690        6.0283949        2.4399898        3.9816851
    322635.6705008    -3660.7821490     -365.9423506     5783.6980203        6.0329130        2.4404425        3.9745351
    322635.6871675    -3654.7469151     -363.5016531     5787.6690192        6.0374236        2.4408923        3.9673804
    322635.7038341    -3648.7071742     -361.0605073     5791.6328608        6.0419267        2.4413390        3.9602207
    322635.7205008    -3642.6629321     -358.6189156     5795.5895415        6.0464224        2.4417827        3.9530562
    322635.7371675    -3636.6141999     -356.1768824     5799.5390539        6.0509105        2.4422235        3.9458869
    322635.7538341    -3630.5609832     -353.7344100     5803.4813946        6.0553912        2.4426612        3.9387128
    322635.7705008    -3624.5032897     -351.2915014     5807.4165586        6.0598644        2.4430958        3.9315338
    322635.7871675    -3618.4411247     -348.8481589     5811.3445424        6.0643300        2.4435275        3.9243500
    322635.8038341    -3612.3744998     -346.4043870     5815.2653387        6.0687882        2.4439561        3.9171615
    322635.8205008    -3606.3034204     -343.9601880     5819.1789439        6.0732388        2.4443818        3.9099681
    322635.8371675    -3600.2278941     -341.5155649     5823.0853534        6.0776819        2.4448044        3.9027700
    322635.8538341    -3594.1479265     -339.0705198     5826.9845634        6.0821175        2.4452240        3.8955671
    322635.8705008    -3588.0635290     -336.6250575     5830.8765669        6.0865455        2.4456406        3.8883594
    322635.8871675    -3581.9747072     -334.1791801     5834.7613602        6.0909660        2.4460541        3.8811470
    322635.9038341    -3575.8814667     -331.7328900     5838.6389398        6.0953790        2.4464647        3.8739298
    322635.9205008    -3569.7838189     -329.2861915     5842.5092986        6.0997844        2.4468722        3.8667079
    322635.9371675    -3563.6817694     -326.8390871     5846.3724331        6.1041822        2.4472767        3.8594812
    322635.9538341    -3557.5753258     -324.3915796     5850.2283384        6.1085725        2.4476782        3.8522499
    322635.9705008    -3551.4644937     -321.9436715     5854.0770112        6.1129553        2.4480766        3.8450138
    322635.9871675    -3545.3492846     -319.4953671     5857.9184443        6.1173304        2.4484721        3.8377730
    322636.0038341    -3539.2297040     -317.0466689     5861.7526342        6.1216980        2.4488645        3.8305276
    322636.0205008    -3533.1057597     -314.5975797     5865.5795761        6.1260580        2.4492539        3.8232774
    322636.0371675    -3526.9774571     -312.1481019     5869.3992668        6.1304105        2.4496402        3.8160226
    322636.0538341    -3520.8448078     -309.6982400     5873.2116990        6.1347553        2.4500236        3.8087631
    322636.0705008    -3514.7078175     -307.2479964     5877.0168693        6.1390925        2.4504039        3.8014990
    322636.0871675    -3508.5664936     -304.7973739     5880.8147730        6.1434222        2.4507812        3.7942302
    322636.1038341    -3502.4208420     -302.3463748     5884.6054068        6.1477442        2.4511555        3.7869568
    322636.1205008    -3496.2708740     -299.8950038     5888.3887636        6.1520586        2.4515267        3.7796788
    322636.1371675    -3490.1165954     -297.4432630     5892.1648399        6.1563654        2.4518950        3.7723961
    322636.1538341    -3483.9580138     -294.9911555     5895.9336312        6.1606646        2.4522602        3.7651088
    322636.1705008    -3477.7951348     -292.5386836     5899.6951339        6.1649561        2.4526223        3.7578169
    322636.1871675    -3471.6279700     -290.0858518     5903.4493413        6.1692400        2.4529815        3.7505205
    322636.2038341    -3465.4565251     -287.6326624     5907.1962498        6.1735163        2.4533376        3.7432194
    322636.2205008    -3459.2808077     -285.1791183     5910.9358549        6.1777849        2.4536907        3.7359138
    322636.2371675    -3453.1008235     -282.7252220     5914.6681532        6.1820459        2.4540408        3.7286036
    322636.2538341    -3446.9165841     -280.2709778     5918.3931377        6.1862993        2.4543878        3.7212888
    322636.2705008    -3440.7280950     -277.8163882     5922.1108051        6.1905449        2.4547318        3.7139696
    322636.2871675    -3434.5353642     -275.3614560     5925.8211509        6.1947830        2.4550728        3.7066457
    322636.3038341    -3428.3383971     -272.9061837     5929.5241717        6.1990133        2.4554107        3.6993174
    322636.3205008    -3422.1372055     -270.4505757     5933.2198606        6.2032360        2.4557456        3.6919845
    322636.3371675    -3415.9317950     -267.9946342     5936.9082143        6.2074510        2.4560775        3.6846471
    322636.3538341    -3409.7221733     -265.5383625     5940.5892282        6.2116583        2.4564064        3.6773052
    322636.3705008    -3403.5083462     -263.0817626     5944.2628991        6.2158579        2.4567322        3.6699588
    322636.3871675    -3397.2903252     -260.6248391     5947.9292202        6.2200498        2.4570550        3.6626079
    322636.4038341    -3391.0681161     -258.1675944     5951.5881880        6.2242340        2.4573748        3.6552526
    322636.4205008    -3384.8417266     -255.7100315     5955.2397982        6.2284106        2.4576915        3.6478928
    322636.4371675    -3378.6111624     -253.2521526     5958.8840474        6.2325794        2.4580052        3.6405285
    322636.4538341    -3372.3764352     -250.7939623     5962.5209289        6.2367405        2.4583159        3.6331598
    322636.4705008    -3366.1375507     -248.3354628     5966.1504394        6.2408939        2.4586235        3.6257867
    322636.4871675    -3359.8945167     -245.8766572     5969.7725745        6.2450395        2.4589281        3.6184091
    322636.5038341    -3353.6473388     -243.4175477     5973.3873308        6.2491774        2.4592297        3.6110271
    322636.5205008    -3347.3960289     -240.9581390     5976.9947018        6.2533076        2.4595282        3.6036407
    322636.5371675    -3341.1405926     -238.4984333     5980.5946840        6.2574301        2.4598237        3.5962499
    322636.5538341    -3334.8810357     -236.0384328     5984.1872743        6.2615448        2.4601162        3.5888547
    322636.5705008    -3328.6173699     -233.5781422     5987.7724660        6.2656518        2.4604056        3.5814551
    322636.5871675    -3322.3496010     -231.1175636     5991.3502558        6.2697510        2.4606920        3.5740512
    322636.6038341    -3316.0777367     -228.6567002     5994.9206394        6.2738424        2.4609754        3.5666429
    322636.6205008    -3309.8017828     -226.1955542     5998.4836136        6.2779261        2.4612557        3.5592302
    322636.6371675    -3303.5217511     -223.7341301     6002.0391717        6.2820020        2.4615330        3.5518132
    322636.6538341    -3297.2376473     -221.2724303     6005.5873106        6.2860702        2.4618073        3.5443919
    322636.6705008    -3290.9494792     -218.8104577     6009.1280259        6.2901305        2.4620785        3.5369662
    322636.6871675    -3284.6572526     -216.3482147     6012.6613143        6.2941831        2.4623467        3.5295362
    322636.7038341    -3278.3609794     -213.8857058     6016.1871695        6.2982279        2.4626118        3.5221019
    322636.7205008    -3272.0606651     -211.4229333     6019.7055881        6.3022649        2.4628739        3.5146633
    322636.7371675    -3265.7563177     -208.9599002     6023.2165658        6.3062941        2.4631330        3.5072204
    322636.7538341    -3259.4479430     -206.4966088     6026.7200996        6.3103155        2.4633890        3.4997732
    322636.7705008    -3253.1355528     -204.0330636     6030.2161828        6.3143291        2.4636420        3.4923218
    322636.7871675    -3246.8191528     -201.5692670     6033.7048124        6.3183349        2.4638920        3.4848661
    322636.8038341    -3240.4987509     -199.1052219     6037.1859841        6.3223329        2.4641389        3.4774061
    322636.8205008    -3234.1743529     -196.6409307     6040.6596947        6.3263230        2.4643828        3.4699419
    322636.8371675    -3227.8459707     -194.1763980     6044.1259378        6.3303053        2.4646236        3.4624735
    322636.8538341    -3221.5136100     -191.7116259     6047.5847103        6.3342798        2.4648614        3.4550008
    322636.8705008    -3215.1772788     -189.2466175     6051.0360079        6.3382465        2.4650962        3.4475239
    322636.8871675    -3208.8369827     -186.7813751     6054.4798276        6.3422053        2.4653279        3.4400428
    322636.9038341    -3202.4927338     -184.3159034     6057.9161629        6.3461563        2.4655566        3.4325576
    322636.9205008    -3196.1445378     -181.8502044     6061.3450107        6.3500994        2.4657822        3.4250681
    322636.9371675    -3189.7924025     -179.3842814     6064.7663669        6.3540346        2.4660048        3.4175744
    322636.9538341    -3183.4363339     -176.9181365     6068.1802284        6.3579620        2.4662244        3.4100766
